kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
褒めます,ほめます,homemasu,praise,"[""praise""]","[""称賛する""]",verb_group_2,1,"[""action"",""transitive""]"
しかります,しかります,shikarisumasu,scold,"[""scold""]","[""怒る""]",verb_group_1,2,"[""action"",""transitive""]"
誘います,さそいます,sasoimasu,invite,"[""invite"",""ask someone to join""]","[""招待する""]",verb_group_1,2,"[""action"",""transitive""]"
起こします,おこします,okoshimasu,wake,"[""wake \(someone\) up"",""rouse""]","[""目覚めさせる""]",verb_group_1,1,"[""action"",""transitive""]"
招待します,しょうたいします,shoutaishimasu,invite,"[""invite""]","[""誘う""]",verb_group_3,2,"[""action"",""transitive""]"
頼みます,たのみます,tanomimasu,ask,"[""ask"",""request""]","[""依頼する""]",verb_group_1,1,"[""action"",""transitive""]"
注意します,ちゅういします,chuuishimasu,warn,"[""warn"",""advise""]","[""警告する""]",verb_group_3,2,"[""action""]"
とります,とります,torimasu,rob,"[""rob"",""steal""]","[""盗む""]",verb_group_1,1,"[""action"",""transitive""]"
踏みます,ふみます,fumimasu,step on,"[""step on"",""step on \(someone's foot\)""]","[""踏みつける""]",verb_group_1,2,"[""action"",""transitive""]"
壊します,こわします,kowashimasu,break,"[""break"",""destroy""]","[""破壊する""]",verb_group_1,2,"[""action"",""transitive""]"
汚します,よごします,yogoshimasu,make dirty,"[""make dirty""]","[""汚損する""]",verb_group_1,2,"[""action"",""transitive""]"
行います,おこないます,okonaimasu,hold,"[""hold"",""carry out"",""practice""]","[""実施する""]",verb_group_1,2,"[""action"",""transitive""]"
輸出します,ゆしゅつします,yushutsushimasu,export,"[""export""]","[""搬出する""]",verb_group_3,2,"[""business"",""action""]"
輸入します,ゆにゅうします,yunyuushimasu,import,"[""import""]","[""搬入する""]",verb_group_3,2,"[""business"",""action""]"
翻訳します,ほんやくします,honyakushimasu,translate,"[""translate""]","[""訳す""]",verb_group_3,2,"[""communication"",""action""]"
発明します,はつめいします,hatsumeishimasu,invent,"[""invent""]","[""創り出す""]",verb_group_3,2,"[""creation"",""action""]"
発見します,はっけんします,hakkenshimasu,discover,"[""discover""]","[""見つける""]",verb_group_3,2,"[""abstract"",""action""]"
設計します,せっけいします,sekkeishimasu,design,"[""design"",""plan""]","[""考案する""]",verb_group_3,2,"[""creation"",""action""]"
米,こめ,kome,rice,"[""rice""]","[""お米""]",noun,1,"[""food""]"
麦,むぎ,mugi,barley,"[""barley"",""wheat""]","[""小麦""]",noun,2,"[""food""]"
石油,せきゆ,sekyu,oil,"[""oil"",""petroleum""]","[""原油""]",noun,2,"[""nature"",""industry""]"
原料,げんりょう,genryou,raw material,"[""raw material""]","[""素材""]",noun,2,"[""industry""]"
デート,でーと,deeto,date,"[""date""]","[""交際""]",noun,1,"[""daily_life""]"
泥棒,どろぼう,dorobou,thief,"[""thief"",""robber""]","[""空き巣""]",noun,2,"[""people""]"
警官,けいかん,keikan,policeman,"[""policeman""]","[""警察官""]",noun,1,"[""profession"",""people""]"
建築家,けんちくか,kenchikuka,architect,"[""architect""]","[""設計者""]",noun,2,"[""profession"",""people""]"
科学者,かがくしゃ,kagakusha,scientist,"[""scientist""]","[""研究者""]",noun,2,"[""profession"",""people""]"
漫画,まんが,manga,cartoon,"[""cartoon""]","[""コミック""]",noun,1,"[""media"",""art""]"
世界中,せかいじゅう,sekaijuu,all over the world,"[""all over the world""]","[""地球上""]",noun,2,"[""location""]"
～中,～じゅう,~juu,all over ~,"[""all over""]","[""～全土""]",suffix,2,"[""location""]"
～によって,～によって,~ni yotte,by ~,"[""by""]","[""～の指示で""]",particle,3,"[""grammar""]"
よかったですね,よかったですね,yokatta desu ne,"That's lucky, isn't it?","[""That's lucky, isn't it?""]","[""幸運でしたね""]",phrase,1,"[""expression""]"
ドミニカ,どみにか,Dominika,Dominica,"[""Dominica""]","[""ドミニカ共和国""]",proper_noun,1,"[""location"",""place_name""]"
kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
※ライト兄弟,らいときょうだい,Raito kyoudai,Wright brothers,"[""Wright brothers"",""American pioneers in aviation""]","[""飛行機の発明者""]",proper_noun,1,"[""people"",""history""]"
※源氏物語,げんじものがたり,Genji Monogatari,The Tale of Genji,"[""The Tale of Genji"",""Japanese novel""]","[""紫式部の小説""]",proper_noun,2,"[""literature"",""history""]"
※紫式部,むらさきしきぶ,Murasaki Shikibu,Murasaki Shikibu,"[""Murasaki Shikibu"",""Heian Period female novelist""]","[""源氏物語の著者""]",proper_noun,2,"[""people"",""history""]"
